,MI Scores
total_POSIX_FILE_ALIGNMENT,0.11662508495280055
total_POSIX_MEM_ALIGNMENT,0.11467685053125665
total_POSIX_OPENS,0.05988558327395421
total_POSIX_WRITES,0.05956319539322319
total_STDIO_WRITES,0.059551887981079576
total_POSIX_MAX_BYTE_READ,0.05943678300353805
total_POSIX_STATS,0.05932304438468916
total_POSIX_SIZE_READ_0_100,0.059262389255914094
total_POSIX_SEEKS,0.059219753788229745
total_STDIO_OPENS,0.05920360405869818
total_STDIO_MAX_BYTE_WRITTEN,0.05881102302523744
nprocs,0.05820031147736471
STDIO_IO_RATE,0.057802071070376715
total_STDIO_SLOWEST_RANK_BYTES,0.05765335776076719
total_POSIX_MAX_BYTE_WRITTEN,0.05745838104809953
total_STDIO_FLUSHES,0.05720611008383769
total_POSIX_FILENOS,0.0570675593668557
total_STDIO_MAX_BYTE_READ,0.057039017786319146
total_STDIO_FASTEST_RANK_BYTES,0.056967063795554274
total_STDIO_BYTES_READ,0.05693100720638489
total_STDIO_BYTES_WRITTEN,0.05690908165225028
total_POSIX_SEQ_WRITES,0.056898347163370055
total_STDIO_READS,0.05684168453715588
total_POSIX_ACCESS1_COUNT,0.056639181152334794
total_STDIO_SEEKS,0.05625139015949343
STDIO_Read_Fraction,0.05617302180320394
total_POSIX_BYTES_WRITTEN,0.05569275180457012
total_POSIX_SIZE_WRITE_100_1K,0.055585348547248836
POSIX_IO_RATE,0.05544313144747581
total_POSIX_STRIDE1_COUNT,0.05502842002744979
total_POSIX_SIZE_WRITE_1K_10K,0.054800638525631884
total_POSIX_CONSEC_WRITES,0.05470973447749783
total_POSIX_STRIDE2_COUNT,0.05384538693120955
total_POSIX_ACCESS4_COUNT,0.05379431248112132
total_POSIX_ACCESS2_COUNT,0.053589457216382974
total_MPIIO_ACCESS2_ACCESS,0.053440529716340945
total_MPIIO_ACCESS2_COUNT,0.053127395573849934
total_MPIIO_ACCESS3_COUNT,0.052935383331973895
total_MPIIO_BYTES_WRITTEN,0.05250406688066267
total_MPIIO_ACCESS1_COUNT,0.05240842895868414
total_MPIIO_COLL_OPENS,0.052393544281303384
total_POSIX_ACCESS3_COUNT,0.05202339572039738
total_MPIIO_INDEP_WRITES,0.05097051857124335
total_STDIO_SLOWEST_RANK,0.05069897132947587
total_POSIX_SIZE_WRITE_0_100,0.050679200939154345
total_POSIX_SIZE_READ_100_1K,0.05057402052558713
total_STDIO_FASTEST_RANK,0.050522757731427226
total_MPIIO_ACCESS4_COUNT,0.05037414028426601
total_POSIX_READS,0.05028807765952403
total_POSIX_CONSEC_READS,0.050178539485411955
total_POSIX_FILE_NOT_ALIGNED,0.050061550945551536
total_POSIX_SEQ_READS,0.05002361442133951
total_POSIX_BYTES_READ,0.04937044228776433
node_hours,0.04916157069845639
total_MPIIO_SIZE_WRITE_AGG_0_100,0.04904434433887794
MPIIO_Meta_Fraction,0.048867848951232085
total_POSIX_STRIDE3_COUNT,0.04878596398967361
total_MPIIO_SIZE_WRITE_AGG_100_1K,0.048517599388564814
runtime,0.048221674509724255
total_POSIX_STRIDE4_COUNT,0.04805821996257087
total_MPIIO_MODE,0.04772534154336261
num_nodes,0.04756443472770877
MPIIO_Write_Fraction,0.04709490884462042
total_POSIX_SIZE_READ_1K_10K,0.04570714363624129
total_MPIIO_COLL_WRITES,0.045527627970306295
total_MPIIO_VIEWS,0.045476471535274454
total_POSIX_SIZE_READ_10K_100K,0.04480115972975984
total_POSIX_RW_SWITCHES,0.04475702625194811
total_MPIIO_ACCESS3_ACCESS,0.04437042115490797
total_MPIIO_MAX_WRITE_TIME_SIZE,0.044317996264738424
total_POSIX_F_MAX_WRITE_TIME,0.04416794267934021
MPIIO_Read_Fraction,0.04414513069283599
total_MPIIO_MAX_READ_TIME_SIZE,0.04413092257982054
total_MPIIO_INDEP_READS,0.044120506571502904
total_MPIIO_BYTES_READ,0.044083172134841586
total_MPIIO_SIZE_READ_AGG_0_100,0.043995771444452436
total_MPIIO_SIZE_READ_AGG_100_1K,0.0439674916384436
POSIX_Meta_Fraction,0.04387062840544209
total_POSIX_MAX_WRITE_TIME_SIZE,0.0437740466538068
total_POSIX_ACCESS4_ACCESS,0.04353082640124717
total_MPIIO_ACCESS4_ACCESS,0.04325316006572233
total_MPIIO_F_MAX_READ_TIME,0.04295355966096659
total_MPIIO_F_MAX_WRITE_TIME,0.04279696193186722
total_POSIX_SIZE_WRITE_10K_100K,0.04265688145721447
total_MPIIO_SIZE_READ_AGG_10M_100M,0.042430637599871424
total_POSIX_SIZE_READ_100K_1M,0.041793622616392634
total_MPIIO_SIZE_READ_AGG_10K_100K,0.041007561695543204
total_MPIIO_SIZE_READ_AGG_1K_10K,0.04086324163931576
total_MPIIO_HINTS,0.040856548676603155
total_MPIIO_SIZE_READ_AGG_1M_4M,0.040835209457587895
total_POSIX_MAX_READ_TIME_SIZE,0.040534985664843814
total_MPIIO_COLL_READS,0.0403253959619001
total_MPIIO_SIZE_WRITE_AGG_1K_10K,0.03925971548127072
total_MPIIO_ACCESS1_ACCESS,0.038952161218433035
POSIX_Write_Fraction,0.038905048498446226
total_MPIIO_SIZE_WRITE_AGG_100K_1M,0.0386841799233717
total_POSIX_SIZE_WRITE_100K_1M,0.03841821656778044
total_MPIIO_SYNCS,0.038019921920906974
total_POSIX_FSYNCS,0.03799876446388606
STDIO_Write_Fraction,0.037918152516990045
total_MPIIO_SIZE_WRITE_AGG_10K_100K,0.036975505942181464
POSIX_Read_Fraction,0.035180627099081985
total_POSIX_ACCESS2_ACCESS,0.03515467401265748
total_POSIX_F_MAX_READ_TIME,0.03229661782508897
STDIO_Meta_Fraction,0.032262679168317154
total_POSIX_ACCESS3_ACCESS,0.030210447566409337
total_POSIX_ACCESS1_ACCESS,0.029274032334693945
total_MPIIO_SIZE_READ_AGG_4M_10M,0.028886393682042488
total_MPIIO_SIZE_WRITE_AGG_1M_4M,0.02417375563608415
total_POSIX_STRIDE2_STRIDE,0.019852887713269984
total_POSIX_STRIDE1_STRIDE,0.01508798420253521
total_POSIX_SIZE_WRITE_10M_100M,0.01145843871708685
total_MPIIO_SIZE_READ_AGG_100K_1M,0.00960744483711884
total_POSIX_SIZE_READ_10M_100M,0.008771872040030937
total_STDIO_FDOPENS,0.008467988655177394
total_POSIX_STRIDE3_STRIDE,0.008099542039908703
total_POSIX_MEM_NOT_ALIGNED,0.0080834872029093
total_MPIIO_SIZE_WRITE_AGG_100M_1G,0.007878926387155816
