,MI Scores
total_POSIX_MEM_ALIGNMENT,1.5616210943197593
total_STDIO_MAX_BYTE_READ,1.2228506812611795
total_POSIX_FILE_ALIGNMENT,1.207306369878312
total_POSIX_MAX_BYTE_READ,1.1622302063406484
total_STDIO_SLOWEST_RANK_BYTES,1.10869964056808
total_STDIO_OPENS,1.0790725326831219
total_POSIX_OPENS,1.068639980646273
total_POSIX_STATS,1.063292463454777
total_POSIX_CONSEC_READS,1.059946389323887
total_STDIO_MAX_BYTE_WRITTEN,1.0477767974108563
num_nodes,1.0238505306171573
total_STDIO_BYTES_READ,1.0195958330714034
total_STDIO_FASTEST_RANK_BYTES,0.9910353267958898
total_STDIO_WRITES,0.9874635242340211
total_STDIO_READS,0.9692488960578001
total_POSIX_FILE_NOT_ALIGNED,0.9635036889596178
total_POSIX_SIZE_READ_1K_10K,0.9610183009620759
total_POSIX_BYTES_READ,0.9609232820371059
total_POSIX_SIZE_READ_0_100,0.9496067549463505
total_POSIX_SEQ_READS,0.9372582347516745
total_POSIX_STRIDE1_STRIDE,0.926506747819847
total_POSIX_STRIDE2_STRIDE,0.9220948926890751
total_POSIX_READS,0.9109498611606921
total_STDIO_BYTES_WRITTEN,0.9042717931256234
total_STDIO_FLUSHES,0.8734545418308313
total_POSIX_WRITES,0.872464074894796
total_POSIX_SIZE_WRITE_1K_10K,0.8716210084397833
total_STDIO_FASTEST_RANK,0.869892236832829
total_POSIX_FILENOS,0.8470210902773829
total_POSIX_STRIDE3_STRIDE,0.8112023983968224
total_POSIX_STRIDE4_COUNT,0.8057512055120544
total_POSIX_ACCESS4_ACCESS,0.8039074800366075
total_POSIX_SEQ_WRITES,0.8024689285387627
total_POSIX_ACCESS3_ACCESS,0.8020965325956575
total_POSIX_SIZE_READ_1M_4M,0.7871506948028031
STDIO_Read_Fraction,0.7818283826343395
total_POSIX_MAX_BYTE_WRITTEN,0.7812681594806206
total_POSIX_SIZE_READ_4M_10M,0.7772573746153653
total_POSIX_STRIDE4_STRIDE,0.7668215755121255
POSIX_IO_RATE,0.7569774626937735
total_POSIX_STRIDE3_COUNT,0.744840077590057
total_POSIX_F_MAX_WRITE_TIME,0.7442543108530522
STDIO_Write_Fraction,0.7434501113117244
STDIO_IO_RATE,0.7313487997915142
STDIO_Meta_Fraction,0.7299465063798549
total_MPIIO_SIZE_READ_AGG_1K_10K,0.7242485649664339
total_POSIX_STRIDE1_COUNT,0.7231890069382798
total_POSIX_ACCESS3_COUNT,0.7222302187669627
total_POSIX_CONSEC_WRITES,0.7207358358017448
total_POSIX_SEEKS,0.7167422226806079
runtime,0.705124001906346
total_POSIX_MAX_READ_TIME_SIZE,0.7042256064610575
total_POSIX_MAX_WRITE_TIME_SIZE,0.702073174234527
total_STDIO_SLOWEST_RANK,0.6968377199639757
total_POSIX_F_MAX_READ_TIME,0.6961523390186137
total_POSIX_ACCESS2_COUNT,0.6847092508355443
total_MPIIO_MODE,0.683948979865407
POSIX_Read_Fraction,0.6799039057176994
total_POSIX_ACCESS4_COUNT,0.6689945273838931
total_STDIO_SEEKS,0.6510596935795965
total_POSIX_STRIDE2_COUNT,0.644068999291088
total_POSIX_ACCESS1_ACCESS,0.6404403536861982
POSIX_Meta_Fraction,0.620867839262393
total_POSIX_BYTES_WRITTEN,0.6206548678789205
node_hours,0.61542765076061
total_MPIIO_SIZE_READ_AGG_0_100,0.6140220017437696
total_POSIX_ACCESS1_COUNT,0.6085500136550657
POSIX_Write_Fraction,0.6017720464584593
total_POSIX_ACCESS2_ACCESS,0.5890329026911143
nprocs,0.584445315321036
total_MPIIO_ACCESS1_ACCESS,0.5802939401358063
total_POSIX_SIZE_READ_100_1K,0.5701730226617414
total_MPIIO_ACCESS4_COUNT,0.5553982794526069
total_POSIX_SIZE_READ_10M_100M,0.5357054844723685
total_MPIIO_ACCESS2_COUNT,0.5328315158641714
total_MPIIO_ACCESS3_ACCESS,0.5264771025313828
total_MPIIO_ACCESS1_COUNT,0.5091940430495157
MPIIO_Meta_Fraction,0.5010918723759468
total_MPIIO_ACCESS2_ACCESS,0.4744463899614544
total_MPIIO_BYTES_READ,0.47348803331377476
total_POSIX_SIZE_READ_100K_1M,0.4660122980112993
total_MPIIO_COLL_OPENS,0.4370085531133192
total_MPIIO_ACCESS3_COUNT,0.4265309978311971
total_MPIIO_ACCESS4_ACCESS,0.4096819378195513
total_POSIX_SIZE_READ_10K_100K,0.40372184067117756
total_MPIIO_MAX_READ_TIME_SIZE,0.3626725934773125
total_MPIIO_VIEWS,0.35596643347344603
total_MPIIO_COLL_READS,0.3414291975123045
total_MPIIO_F_MAX_READ_TIME,0.23066631193557985
total_POSIX_MEM_NOT_ALIGNED,0.2186907826154938
total_POSIX_SIZE_WRITE_100_1K,0.21731672715035666
total_MPIIO_SIZE_WRITE_AGG_0_100,0.2148438496894074
total_MPIIO_SIZE_READ_AGG_10K_100K,0.2140025704417936
MPIIO_Read_Fraction,0.21312463939152337
total_MPIIO_SIZE_READ_AGG_1M_4M,0.2049690522301164
total_POSIX_MODE,0.18238001923255442
total_MPIIO_SIZE_READ_AGG_100M_1G,0.16656565550994085
total_POSIX_DUPS,0.16112038283340135
total_POSIX_RW_SWITCHES,0.1609449691099223
total_MPIIO_SLOWEST_RANK_BYTES,0.1531484759226327
total_POSIX_RENAME_TARGETS,0.1453554374642927
total_POSIX_SIZE_WRITE_100M_1G,0.13718141314206012
total_POSIX_SLOWEST_RANK_BYTES,0.10112884686980772
total_MPIIO_SIZE_READ_AGG_100_1K,0.09542905837832283
total_POSIX_SIZE_WRITE_100K_1M,0.09460136003970776
total_POSIX_SIZE_WRITE_0_100,0.07301280963078716
total_MPIIO_SIZE_WRITE_AGG_4M_10M,0.06488023425657818
total_MPIIO_INDEP_OPENS,0.060707448939766984
total_MPIIO_INDEP_READS,0.06039329107131319
total_POSIX_SIZE_READ_100M_1G,0.06003560292803867
total_MPIIO_FASTEST_RANK,0.05851668656862019
total_POSIX_FSYNCS,0.04269766622288662
total_MPIIO_SIZE_READ_AGG_1G_PLUS,0.04041442140472906
total_POSIX_SIZE_WRITE_10K_100K,0.03823196617685509
total_POSIX_SIZE_WRITE_1G_PLUS,0.020377704063956337
total_MPIIO_NB_READS,0.013055799506605847
total_MPIIO_SIZE_WRITE_AGG_10M_100M,0.012145639778087691
total_MPIIO_SIZE_WRITE_AGG_1M_4M,0.00620725341278483
total_POSIX_RENAME_SOURCES,0.003960953475647955
total_MPIIO_SIZE_READ_AGG_10M_100M,0.0
total_POSIX_FASTEST_RANK_BYTES,0.0
total_POSIX_FDSYNCS,0.0
total_MPIIO_F_MAX_WRITE_TIME,0.0
total_POSIX_RENAMED_FROM,0.0
total_STDIO_FDOPENS,0.0
total_POSIX_SLOWEST_RANK,0.0
total_POSIX_MMAPS,0.0
total_POSIX_FASTEST_RANK,0.0
total_MPIIO_FASTEST_RANK_BYTES,0.0
total_POSIX_SIZE_READ_1G_PLUS,0.0
total_POSIX_SIZE_WRITE_10M_100M,0.0
MPIIO_Write_Fraction,0.0
total_POSIX_SIZE_WRITE_4M_10M,0.0
total_POSIX_SIZE_WRITE_1M_4M,0.0
total_MPIIO_SLOWEST_RANK,0.0
total_MPIIO_COLL_WRITES,0.0
total_MPIIO_INDEP_WRITES,0.0
total_MPIIO_SIZE_WRITE_AGG_100M_1G,0.0
total_MPIIO_SIZE_READ_AGG_100K_1M,0.0
total_MPIIO_SIZE_WRITE_AGG_100_1K,0.0
total_MPIIO_SIZE_WRITE_AGG_1K_10K,0.0
total_MPIIO_SIZE_WRITE_AGG_10K_100K,0.0
total_MPIIO_SIZE_WRITE_AGG_100K_1M,0.0
total_MPIIO_MAX_WRITE_TIME_SIZE,0.0
total_MPIIO_SIZE_WRITE_AGG_1G_PLUS,0.0
total_MPIIO_SIZE_READ_AGG_4M_10M,0.0
total_MPIIO_RW_SWITCHES,0.0
total_MPIIO_BYTES_WRITTEN,0.0
total_MPIIO_SYNCS,0.0
total_MPIIO_NB_WRITES,0.0
total_MPIIO_SPLIT_WRITES,0.0
total_MPIIO_SPLIT_READS,0.0
total_MPIIO_HINTS,0.0
