,MI Scores
total_POSIX_SIZE_WRITE_1M_4M,0.020570082701860004
total_POSIX_SIZE_WRITE_4M_10M,0.016762651481249335
total_POSIX_SIZE_WRITE_100M_1G,0.011780603014255764
total_MPIIO_HINTS,0.011567459870065022
total_MPIIO_SIZE_WRITE_AGG_10M_100M,0.011042080153929712
total_MPIIO_SIZE_WRITE_AGG_1M_4M,0.007464485703609913
total_MPIIO_SIZE_READ_AGG_100M_1G,0.007443541087467809
total_MPIIO_COLL_READS,0.007336974165419452
total_MPIIO_SIZE_WRITE_AGG_100M_1G,0.006521150006252974
total_POSIX_MODE,0.004170941650000204
total_POSIX_FSYNCS,0.0014725103019905816
total_MPIIO_SIZE_WRITE_AGG_1G_PLUS,0.0012343256438938077
total_POSIX_SIZE_READ_1G_PLUS,0.000996524608239291
total_MPIIO_SIZE_WRITE_AGG_10K_100K,0.0007542309587997842
total_POSIX_SLOWEST_RANK,0.0006430073692311744
total_MPIIO_SIZE_WRITE_AGG_4M_10M,0.0006064794462876666
total_POSIX_SIZE_WRITE_1G_PLUS,0.000573908755969299
total_POSIX_FASTEST_RANK_BYTES,0.0005181903051409975
total_MPIIO_SLOWEST_RANK_BYTES,0.00047110840159647616
total_MPIIO_SIZE_READ_AGG_1G_PLUS,0.00038384195268004184
total_POSIX_RENAMED_FROM,0.0003658079876311948
total_MPIIO_FASTEST_RANK,0.0003386479809657228
total_POSIX_RENAME_SOURCES,0.0003360633181435091
total_POSIX_RENAME_TARGETS,0.00029162865797460746
total_POSIX_SLOWEST_RANK_BYTES,0.0002845455900974958
total_POSIX_FASTEST_RANK,0.0001301813945506769
total_MPIIO_FASTEST_RANK_BYTES,7.682723666424529e-05
total_POSIX_MMAPS,7.241510431454934e-05
total_POSIX_FDSYNCS,6.58445378820538e-06
total_MPIIO_SLOWEST_RANK,0.0
total_POSIX_SIZE_READ_100M_1G,0.0
total_POSIX_MEM_ALIGNMENT,0.0
total_MPIIO_SPLIT_READS,0.0
total_MPIIO_SYNCS,0.0
total_MPIIO_NB_WRITES,0.0
total_MPIIO_NB_READS,0.0
total_MPIIO_SPLIT_WRITES,0.0
total_POSIX_DUPS,0.0
